"날짜","종가","시가","고가","저가","거래량","변동 %"
"1986- 04- 18","113.17","113.86","114.12","113.09","","-0.98%"
"1986- 04- 17","114.29","114.56","114.72","113.51","","-0.57%"
"1986- 04- 16","114.95","115.51","115.58","114.92","","-2.09%"
"1986- 04- 15","117.40","118.08","118.08","117.02","","-0.09%"
"1986- 04- 14","117.50","117.69","117.77","117.35","","0.17%"
"1986- 04- 11","117.30","117.14","117.52","116.85","","0.33%"
"1986- 04- 10","116.92","118.37","118.43","116.85","","-1.28%"
"1986- 04- 09","118.44","118.28","118.63","117.98","","0.03%"
"1986- 04- 08","118.40","118.53","118.83","118.34","","-1.68%"
"1986- 04- 07","120.42","120.90","121.16","120.32","","-0.22%"
"1986- 04- 04","120.69","120.15","120.83","120.11","","0.62%"
"1986- 04- 03","119.95","119.29","120.17","119.19","","0.93%"
"1986- 04- 02","118.85","118.69","119.34","118.64","","0.72%"
"1986- 04- 01","118.00","117.78","118.21","117.45","","0.07%"
"1986- 03- 31","117.92","118.17","118.71","117.70","","0.20%"
"1986- 03- 28","117.68","117.22","117.85","117.22","","0.00%"
"1986- 03- 27","117.68","117.22","117.85","117.22","","-0.29%"
"1986- 03- 26","118.02","118.66","118.66","117.67","","-0.08%"
"1986- 03- 25","118.11","117.44","118.42","117.36","","1.09%"
"1986- 03- 24","116.84","116.04","117.17","116.01","","2.34%"
"1986- 03- 21","114.17","114.62","114.68","114.10","","-0.44%"
"1986- 03- 20","114.68","114.61","114.98","114.61","","-0.36%"
"1986- 03- 19","115.10","115.14","115.38","114.97","","0.59%"
"1986- 03- 18","114.42","114.68","114.94","114.34","","-0.36%"
"1986- 03- 17","114.83","114.68","115.01","114.45","","-0.34%"
"1986- 03- 14","115.22","115.25","115.47","114.96","","-1.31%"
"1986- 03- 13","116.75","116.40","117.12","116.40","","0.53%"
"1986- 03- 12","116.13","115.72","116.55","115.72","","0.23%"
"1986- 03- 11","115.86","116.24","116.29","115.55","","-0.31%"
"1986- 03- 10","116.22","116.20","116.85","115.95","","1.09%"
"1986- 03- 07","114.97","115.29","115.40","114.66","","-0.24%"
"1986- 03- 06","115.25","115.41","115.68","115.05","","-0.73%"
"1986- 03- 05","116.10","114.50","116.56","114.50","","2.08%"
"1986- 03- 04","113.73","114.20","114.29","113.66","","-0.57%"
"1986- 03- 03","114.38","114.94","115.11","114.28","","-0.61%"
"1986- 02- 28","115.08","114.63","115.20","114.21","","0.61%"
"1986- 02- 27","114.38","113.54","115.14","113.45","","-0.34%"
"1986- 02- 26","114.77","115.00","115.22","114.38","","-0.35%"
"1986- 02- 25","115.17","115.21","115.40","114.60","","-0.60%"
"1986- 02- 24","115.86","116.56","116.86","115.63","","-1.16%"
"1986- 02- 21","117.22","117.79","117.97","117.02","","0.10%"
"1986- 02- 20","117.10","116.97","117.46","116.51","","-0.08%"
"1986- 02- 19","117.19","117.24","117.64","115.86","","-0.73%"
"1986- 02- 18","118.05","119.08","119.08","117.93","","-0.65%"
"1986- 02- 17","118.82","119.41","119.41","118.71","","0.00%"
"1986- 02- 14","118.82","119.41","119.41","118.71","","-0.27%"
"1986- 02- 13","119.14","119.49","120.17","119.04","","-0.79%"
"1986- 02- 12","120.09","119.81","120.29","119.81","","-0.42%"
"1986- 02- 11","120.60","120.49","120.68","120.40","","-0.17%"
"1986- 02- 10","120.81","121.10","121.23","120.62","","-0.95%"
"1986- 02- 07","121.97","121.67","122.30","121.67","","0.13%"
"1986- 02- 06","121.81","121.55","122.06","121.08","","0.15%"
"1986- 02- 05","121.63","122.50","122.57","121.51","","-1.01%"
"1986- 02- 04","122.87","123.03","123.26","122.72","","0.68%"
"1986- 02- 03","122.04","121.78","122.41","121.76","","0.43%"
"1986- 01- 31","121.52","121.63","121.87","121.48","","0.31%"
"1986- 01- 30","121.15","121.92","121.92","121.03","","-0.57%"
"1986- 01- 29","121.85","121.70","121.99","121.67","","-0.23%"
"1986- 01- 28","122.13","122.20","122.39","122.00","","-0.26%"
"1986- 01- 27","122.45","122.52","122.78","122.11","","-0.27%"
"1986- 01- 24","122.78","123.38","123.41","122.67","","-1.34%"
"1986- 01- 23","124.45","124.47","124.72","124.24","","-0.24%"
"1986- 01- 22","124.75","124.77","124.97","123.88","","0.20%"
"1986- 01- 21","124.50","124.40","124.63","124.18","","-0.08%"
"1986- 01- 20","124.60","124.87","124.93","124.52","","0.15%"
"1986- 01- 17","124.41","124.56","124.57","124.20","","-0.10%"
"1986- 01- 16","124.53","124.10","124.59","124.04","","0.19%"
"1986- 01- 15","124.30","124.64","124.64","124.07","","-0.30%"
"1986- 01- 14","124.67","124.75","124.91","124.38","","0.16%"
"1986- 01- 13","124.47","124.82","125.21","124.23","","0.25%"
"1986- 01- 10","124.16","123.98","124.27","123.46","","0.77%"
"1986- 01- 09","123.21","124.18","124.71","122.91","","-0.92%"
"1986- 01- 08","124.36","123.59","124.58","123.49","","0.70%"
"1986- 01- 07","123.50","123.18","123.60","123.05","","-0.18%"
"1986- 01- 06","123.72","124.80","124.80","123.57","","-0.63%"
"1986- 01- 03","124.50","124.33","124.55","124.15","","1.42%"
"1986- 01- 02","122.76","123.33","123.80","122.60","","-0.57%"
"1986- 01- 01","123.46","123.71","123.71","123.24","","0.00%"
