,date,btc,Gold,Dollar,SnP
0,2017-08-17,0.015684127515851763,0.4808573677144576,0.2386765178284613,0.4522322640704395
1,2017-08-18,0.013155486589874928,0.4804870144900698,0.2366420387621801,0.4513789224622784
2,2017-08-21,0.011833713275786993,0.4828480162955418,0.2330013920119927,0.4519219580311082
3,2017-08-22,0.012177142522708184,0.480209249571779,0.2379269729093049,0.4565959427485357
4,2017-08-23,0.013236192462901412,0.4819221332345724,0.2336438590855553,0.4549474419145882
5,2017-08-24,0.01612672195782145,0.4806721911022636,0.2350358710782739,0.453977735541678
6,2017-08-25,0.015621165487249546,0.4834035461321234,0.2292536674162115,0.4547728947674644
7,2017-08-28,0.017138121090004357,0.4914587287625571,0.223578541599743,0.4549862301695046
8,2017-08-29,0.020011336027058776,0.4931253182723022,0.2240068529821179,0.455393506846127
9,2017-08-30,0.019548565116832492,0.4909031989259755,0.230752757254524,0.4575850432489042
10,2017-08-31,0.021977611561202176,0.4946530253229017,0.2285041224970554,0.4603196152205112
11,2017-09-01,0.023551948467296732,0.4984491458728762,0.2300032123353678,0.4612699274659633
12,2017-09-04,0.013037289690726213,0.5049766214527104,0.2281828889602741,0.4585353554943563
13,2017-09-05,0.016848781949473257,0.5040970325447894,0.2240068529821179,0.4576238315038207
14,2017-09-06,0.02047339145968735,0.5024304430350446,0.224435164364493,0.4591171793181025
15,2017-09-07,0.021501389672138105,0.5076616823295217,0.2176892600920869,0.4590396028082696
16,2017-09-08,0.015651501737394248,0.508078329706958,0.2143698468786807,0.458322020092316
17,2017-09-11,0.014587872740575408,0.5009027359844451,0.220259128386337,0.4635002521236569
18,2017-09-12,0.013947520290586934,0.4995139113929909,0.2200449726951493,0.4651293588301462
19,2017-09-13,0.010813299125872401,0.4973380861997128,0.2268979548131491,0.4654978472518521
20,2017-09-14,0.0,0.497939910189343,0.2226148409893993,0.4649548116830223
21,2017-09-15,0.0073118948579912885,0.4960418499143557,0.2199378948495557,0.4658469415460998
22,2017-09-18,0.012105737858452488,0.489375491875376,0.221865296070243,0.4665645242620534
23,2017-09-19,0.010317473150629926,0.489282903569279,0.2190812720848057,0.4671075598308831
24,2017-09-20,0.010173805249001223,0.4919679644460903,0.2267908769675555,0.4673984717427562
25,2017-09-21,0.0060238920865172615,0.4819684273876208,0.2233643859085554,0.4659245180559326
26,2017-09-22,0.00582184121291196,0.4832183695199296,0.223150230217368,0.4662348240952639
27,2017-09-25,0.010470728452068506,0.4896995509467153,0.2282899668058678,0.4651681470850626
28,2017-09-26,0.009921241656994595,0.4851627239479653,0.2317164578648677,0.4651875412125208
29,2017-09-27,0.014366503971830785,0.4787278366742279,0.2358924938430239,0.4671657422132578
30,2017-09-28,0.01410177726066237,0.4791444840516642,0.2328943141663989,0.4677669601644622
31,2017-09-29,0.014104496075533823,0.4773390120827738,0.2328943141663989,0.4695706140180753
32,2017-10-02,0.01704239018742508,0.4731725383084115,0.2380340507548988,0.4714518443815212
33,2017-10-03,0.016040721550571596,0.4726170084718298,0.2381411286004924,0.4725185213917225
34,2017-10-04,0.014589589886810014,0.4736354798388962,0.2369632722989612,0.4731197393429269
35,2017-10-05,0.01578930272272138,0.4719688903291513,0.2423171645786486,0.4759124936969085
36,2017-10-06,0.01688498511591953,0.4727558909309753,0.2406039190491486,0.4753694581280788
37,2017-10-09,0.022865662355532543,0.4774316003888708,0.23921190705643,0.4744773282650013
38,2017-10-10,0.02280999819842741,0.4815054858571361,0.2351429489238677,0.4756215817850354
39,2017-10-11,0.02335905570694266,0.4792370723577611,0.2322518470928364,0.4765137116481129
40,2017-10-12,0.032067419740227254,0.4827554279894448,0.2326801584752115,0.4756797641674101
41,2017-10-13,0.035215234979299084,0.4865052543863708,0.2330013920119927,0.4761258290989488
42,2017-10-16,0.03678985807643276,0.4857645479375954,0.2353571046150552,0.4769791707071099
43,2017-10-17,0.03442849581281045,0.4779871302254525,0.2374986615269301,0.4773282650013576
44,2017-10-18,0.03324166157365864,0.4765057173279013,0.2358924938430239,0.4776967534230635
45,2017-10-19,0.035700614981614365,0.4797463080412942,0.2337509369311489,0.4778519064427291
46,2017-10-20,0.04036710296967563,0.4753483635016896,0.2395331405932113,0.480392537139754
47,2017-10-23,0.03902086032174455,0.4755335401138836,0.2421030088874611,0.478414336139017
48,2017-10-24,0.03274039796867324,0.4743298921346233,0.2402826855123674,0.4792094953648035
49,2017-10-25,0.035787760153020626,0.4746539512059626,0.2396402184388049,0.476901594197277
50,2017-10-26,0.03824585498785907,0.4703023008194064,0.2492772245422421,0.4775222062759396
51,2017-10-27,0.03691592522915674,0.4713207721864727,0.2525966377556483,0.4815367906597882
52,2017-10-30,0.04194816536518907,0.4740521272163325,0.2487418353142734,0.4799270780807572
53,2017-10-31,0.04684918690979359,0.4707189481968427,0.2486347574686798,0.4804119312672123
54,2017-11-01,0.05101298033767393,0.4738669506041386,0.2514187814541171,0.4812070904929987
55,2017-11-02,0.05481932115771715,0.4742373038285263,0.250133847306992,0.4812846670028315
56,2017-11-03,0.05617958716656418,0.4701171242072125,0.2528107934468357,0.482836197199488
57,2017-11-06,0.053962751377687884,0.4758575991852227,0.2508833922261484,0.4834762034056087
58,2017-11-07,0.05544980001685665,0.4731725383084115,0.2524895599100545,0.4833792327683177
59,2017-11-08,0.058869210552035325,0.4768297763992407,0.2520612485276796,0.4841162096117296
60,2017-11-09,0.055678037370539696,0.4785889542150825,0.2474569011671485,0.4822155851208253
61,2017-11-10,0.04747852100477666,0.4724318318596361,0.2469215119391798,0.4817695201892867
