date,btc,Gold,Dollar,SnP
2021-01-20,0.4619010325629596,0.636462542741685,0.07366771159874563,0.5351010938017899
2021-01-21,0.39581809067934454,0.6359030152315825,0.060344827586206407,0.5355319854159761
2021-01-22,0.42579717440725184,0.6268573204849239,0.0646551724137927,0.5316871063970832
2021-01-25,0.4159097032928712,0.6259247746347532,0.07053291536050121,0.536294332117998
2021-01-26,0.4189657943039111,0.6219148274790178,0.06191222570532906,0.5343718926085514
2021-01-27,0.3888925537241396,0.6163195523779921,0.08072100313479602,0.5016241299303945
2021-01-28,0.43180275026726667,0.6128691327323594,0.07327586206896486,0.5137553861451774
2021-01-29,0.4445001880990604,0.6213552999689151,0.07797805642633193,0.48949287371561145
2021-02-01,0.43411388600352674,0.6340379235312406,0.09365203761755447,0.5092807424593968
2021-02-02,0.461872556554569,0.6055952751010261,0.10227272727272707,0.5266489890619821
2021-02-03,0.4926757273795676,0.6071806030463165,0.10109717868338519,0.5279416639045409
2021-02-04,0.4829136079403132,0.5662418402238112,0.11520376175548552,0.5416970500497182
2021-02-05,0.5022827312756293,0.5865713397575383,0.09600313479623823,0.5467020218760359
2021-02-08,0.6179701642979828,0.6063413117811627,0.09169278996865193,0.5562479284057009
2021-02-09,0.6186219643895352,0.6094187130867268,0.07249216300940375,0.5547895260192244
2021-02-10,0.5955429466143529,0.6142679515076159,0.06974921630094011,0.5543586344050382
2021-02-11,0.6407887482275832,0.5994404724898974,0.0717084639498431,0.5565130924759696
2021-02-12,0.6310309216539152,0.5960833074292822,0.07405956112852641,0.5626118660921446
2021-02-15,0.6399529272978887,0.5735156978551446,0.07405956112852641,0.5620649651972158
2021-02-16,0.6574442081301437,0.5735156978551446,0.07523510971786829,0.5618826648989061
2021-02-17,0.7001762507514304,0.5490829965806652,0.09247648902821304,0.56145177328472
2021-02-18,0.6920611607422021,0.5511345974510415,0.0783699059561127,0.555717600265164
2021-02-19,0.7543563642233155,0.5533727074914518,0.06935736677115933,0.5532979781239642
2021-02-22,0.72833687661689,0.5822816288467518,0.05564263322883978,0.5432880344713291
2021-02-23,0.6539748572586419,0.5799502642213243,0.06191222570532906,0.5449121644017236
2021-02-24,0.6652107174537469,0.5724898974199566,0.062304075235109835,0.55949618826649
2021-02-25,0.6279705377772888,0.5515076157911099,0.060344827586206407,0.527643354325489
2021-02-26,0.6165678282063879,0.5080509791731427,0.0897335423197485,0.5216440172356644
2021-03-01,0.6639347347059151,0.5026422132421511,0.09600313479623823,0.5516738481935699
2021-03-02,0.6475305505356853,0.5125271992539633,0.0862068965517242,0.5412330129267484
2021-03-03,0.6748434785433277,0.4959278831209202,0.09247648902821304,0.5244613854822671
2021-03-04,0.6465781067575571,0.4818464407833387,0.11912225705329105,0.5074908849850845
2021-03-05,0.651981679766823,0.47979483991296257,0.13283699059561105,0.5318196884322175
2021-03-08,0.7038317688938673,0.4606776499844576,0.1457680250783695,0.5249917136228042
2021-03-09,0.7397391569012323,0.49695368355610836,0.1320532915360495,0.54292343387471
2021-03-10,0.7535777815014412,0.5015231582219459,0.12656739811912177,0.550679482930063
2021-03-11,0.7810745872517061,0.5022691949020828,0.11089341692789922,0.5641034139874048
2021-03-12,0.7731837279216135,0.49965806652160394,0.12108150470219448,0.5654292343387473
2021-03-15,0.7500520509952365,0.5084239975132112,0.12695924764890254,0.5739144845873385
2021-03-16,0.7685907910306011,0.5100093254585019,0.12813479623824398,0.5718594630427576
2021-03-17,0.7973847576655912,0.506465651227852,0.11167711598746033,0.5756380510440835
2021-03-18,0.7792858932573249,0.5115013988187753,0.12813479623824398,0.5562147828969175
2021-03-19,0.7847499956713606,0.5200808206403482,0.13048589341692773,0.555419290686112
2021-03-22,0.7282736283972486,0.5167236555797328,0.12343260188087735,0.564534305601591
2021-03-23,0.7319603413629476,0.50460055952751,0.14694357366771138,0.5545575074577394
2021-03-24,0.7028083497380423,0.512154180913895,0.1543887147335421,0.5474643685780576
2021-03-25,0.6883575625051962,0.50460055952751,0.1543887147335421,0.5542260523699039
2021-03-26,0.7417580915865701,0.5113148896487412,0.16379310344827536,0.5757706330792178
